"Validated Shipping Address","Indirizzo di spedizione convalidato"
"House Number","Numero civico"
"Street","Via"
"Zip Code","Codice postale"
"Additional Info","Informazioni aggiuntive"
"Please fill out all the address fields!","Compilare tutti i campi dell'indirizzo!"
"The address has been saved successfully.","L'indirizzo è stato salvato con successo."
"An error occurred while saving the address.","Si è verificato un errore durante il salvataggio dell'indirizzo."
"Address Validation","Convalida dell'indirizzo"
"Sharpness of the Validation","Nitidezza della convalida"
"Mapping of Export CSV","Mappatura dell'esportazione CSV"
"Column Header","Intestazione delle colonne"
"Check additional info","Verifica delle informazioni aggiuntive"
"Statuscodes","Codici di stato"
"Validation Status","Stato di convalida"
"Order Status","Stati dell'ordine"
"Select those order status that should be considered for validation","Selezionare gli stati dell'ordine che devono essere considerati per la convalida"
"Select those statuscodes that you want to check manually","Selezionare gli statuscodes che si desidera controllare manualmente"
"edited at","modificato alla"
"Create Address CSV","Crea indirizzo CSV"
"You must first define the mapping in the store config","È necessario definire prima la mappatura nella configurazione del negozio"
"If additional info exists, set always address validation status for manual checking","Se esistono informazioni aggiuntive, lo stato di convalida dell'indirizzo è sempre impostato per il controllo manuale"
"You need to select and save the relevant tables before adding a mapping.","È necessario selezionare e salvare le tabelle pertinenti prima di aggiungere una mappatura."
"Enter a valid cron expression (e.g. */10 * * * *)","Inserire un'espressione cron valida (ad esempio, */10 * * * *)"
"Select the status that orders should receive if they require manual address verification.","Selezionare lo stato che gli ordini devono ricevere se richiedono una verifica manuale dell'indirizzo."
"Save as shipping address","Salva come indirizzo di spedizione"
"Restore orig. shipping address","Ripristina l'indirizzo di spedizione originale"
"The validated address was successfully saved as shipping address.","L'indirizzo convalidato è stato salvato come indirizzo di spedizione."
"The original shipping address was successfully restored.","L'indirizzo di spedizione originale è stato ripristinato con successo."
"If activated the original shipping address is overwritten by the validated address.","Se attivato, l'indirizzo di spedizione originale viene sovrascritto dall'indirizzo convalidato."
"Overwrite orig. shipping address","Sovrascrivere l'indirizzo di spedizione originale"
