"Validated Shipping Address","Dirección de envío validada"
"House Number","Número de casa"
"Street","Calle"
"Zip Code","Código postal"
"Additional Info","Información adicional"
"Please fill out all the address fields!","Rellene todos los campos de la dirección."
"The address has been saved successfully.","La dirección se ha guardado correctamente."
"An error occurred while saving the address.","Se ha producido un error al guardar la dirección."
"Address Validation","Validación de la dirección"
"Sharpness of the Validation","Nitidez de la validación"
"Mapping of Export CSV","Asignación de CSV de exportación"
"Column Header","Cabecera de columna"
"Check additional info","Comprobar información adicional"
"Statuscodes","Códigos de estado"
"Validation Status","Estado de validación"
"Order Status","Estados de pedido"
"Select those order status that should be considered for validation","Seleccione los estados de pedido que deben tenerse en cuenta para la validación"
"Select those statuscodes that you want to check manually","Seleccione los códigos de estado que desea comprobar manualmente"
"edited at","editado en"
"Create Address CSV","Crear CSV de direcciones"
"You must first define the mapping in the store config","Primero debe definir la asignación en la configuración de la tienda"
"If additional info exists, set always address validation status for manual checking","Si existe información adicional, el estado de validación de la dirección se establece siempre para la comprobación manual"
"You need to select and save the relevant tables before adding a mapping.","Es necesario seleccionar y guardar las tablas pertinentes antes de añadir una asignación."
"Enter a valid cron expression (e.g. */10 * * * *)","Introduzca una expresión cron válida (por ejemplo, */10 * * * *)"
"Select the status that orders should receive if they require manual address verification.","Seleccione el estado que deben recibir los pedidos si requieren una verificación manual de la dirección."
"Save as shipping address","Guardar como dirección de envío"
"Restore orig. shipping address","Restaurar dirección de envío original"
"The validated address was successfully saved as shipping address.","La dirección validada se ha guardado correctamente como dirección de envío."
"The original shipping address was successfully restored.","La dirección de envío original se ha restaurado correctamente."
"If activated the original shipping address is overwritten by the validated address.","Si se activa, la dirección de envío original se sobrescribe con la dirección validada."
"Overwrite orig. shipping address","Sobrescribir dirección de envío original"
