"Validated Shipping Address","Adresse de livraison validée"
"House Number","Numéro de maison"
"Street","Rue"
"Zip Code","Code postal"
"Additional Info","Informations complémentaires"
"Please fill out all the address fields!","Veuillez remplir tous les champs de l'adresse !"
"The address has been saved successfully.","L'adresse a été enregistrée avec succès."
"An error occurred while saving the address.","Une erreur s'est produite lors de l'enregistrement de l'adresse."
"Address Validation","Validation de l'adresse"
"Sharpness of the Validation","Netteté de la validation"
"Mapping of Export CSV","Mappage de l'exportation CSV"
"Column Header","En-tête de colonne"
"Check additional info","Vérifier les informations supplémentaires"
"Statuscodes","Codes d'état"
"Validation Status","Statut de validation"
"Order Status","États de la commande"
"Select those order status that should be considered for validation","Sélectionnez les statuts de commande qui doivent être pris en compte pour la validation"
"Select those statuscodes that you want to check manually","Sélectionnez les codes de statut que vous souhaitez vérifier manuellement"
"edited at","édité à la"
"Create Address CSV","Créer une adresse CSV"
"You must first define the mapping in the store config","Vous devez d'abord définir le mappage dans la configuration du magasin"
"If additional info exists, set always address validation status for manual checking","S'il existe des informations supplémentaires, le statut de validation de l'adresse est toujours défini pour la vérification manuelle"
"You need to select and save the relevant tables before adding a mapping.","Vous devez sélectionner et enregistrer les tables concernées avant d'ajouter une correspondance."
"Enter a valid cron expression (e.g. */10 * * * *)","Entrez une expression cron valide (par exemple */10 * * * *)"
"Select the status that orders should receive if they require manual address verification.","Sélectionnez le statut que les commandes doivent recevoir si elles nécessitent une vérification manuelle de l'adresse."
"Save as shipping address","Enregistrer comme adresse d'expédition"
"Restore orig. shipping address","Restaurer l'adresse d'expédition originale"
"The validated address was successfully saved as shipping address.","L'adresse validée a été enregistrée avec succès comme adresse d'expédition."
"The original shipping address was successfully restored.","L'adresse d'expédition originale a été restaurée avec succès."
"If activated the original shipping address is overwritten by the validated address.","Si cette option est activée, l'adresse d'expédition originale est remplacée par l'adresse validée."
"Overwrite orig. shipping address","Remplacer l'adresse d'expédition originale"
