"Validated Shipping Address","Validierte Lieferadresse"
"House Number","Hausnummer"
"Street","Straße"
"Zip Code","Postleitzahl"
"Additional Info","Zusatzinfo"
"Please fill out all the address fields!","Bitte füllen Sie alle Adressfelder aus!"
"The address has been saved successfully.","Die Adrese wurde erfolgreich gespeichert."
"An error occurred while saving the address.","Beim Speichern der Adresse ist ein Fehler aufgetreten."
"Address Validation","Adressvalidierung"
"Sharpness of the Validation","Schärfe der Validierung"
"Mapping of Export CSV","Zuordnung des CSV-Exports"
"Column Header","Spaltenüberschrift"
"Check additional info","Zusatzinfo prüfen"
"Validation Status","Validierungsstatus"
"Order Status","Auftragsstatus"
"Select those order status that should be considered for validation","Wählen Sie die Auftragsstatus aus, die für die Validierung berücksichtigt werden sollen"
"Select those statuscodes that you want to check manually","Wählen Sie die Statuscodes aus, die Sie manuell prüfen möchten"
"edited at","bearbeitet am"
"Create Address CSV","Adress-CSV erstellen"
"You must first define the mapping in the store config","Sie müssen die Zuordnung zunächst in der Store Config definieren"
"If additional info exists, set always address validation status for manual checking","Adressvalidierungsstatus für manuelle Prüfung immer setzen, wenn zusätzliche Infos vorhanden sind"
"You need to select and save the relevant tables before adding a mapping.","Bevor Sie eine Zuordnung hinzufügen, müssen Sie die relevanten Tabellen auswählen und speichern."
"Enter a valid cron expression (e.g. */10 * * * *)","Geben Sie einen gültigen Cron-Ausdruck ein (z. B. */10 * * * *)"
"Select the status that orders should receive if they require manual address verification.","Wählen Sie den Status, den Bestellungen erhalten sollen, wenn sie eine manuelle Adressüberprüfung erfordern."
"Save as shipping address","Als Lieferadresse speichern"
"Restore orig. shipping address","Ursprüngliche Lieferadresse wiederherstellen"
"The validated address was successfully saved as shipping address.","Die überprüfte Adresse wurde erfolgreich als Lieferadresse gespeichert."
"The original shipping address was successfully restored.","Die ursprüngliche Lieferadresse wurde erfolgreich wiederhergestellt."
"If activated the original shipping address is overwritten by the validated address.","Wenn diese Funktion aktiviert ist, wird die ursprüngliche Lieferadresse durch die geprüfte Adresse überschrieben."
"Overwrite orig. shipping address","Orig. Lieferadresse überschreiben"
"Original shipping address was overwritten with the validated address by the system (per module configuration).","Ursprüngliche Lieferadresse wurde vom System mit der validierten Adresse überschrieben (gemäß Modulkonfiguration)."
"Order put on hold for address verification by the system.","Bestellung vom System zur Adressprüfung zurückgestellt."
"Original shipping address was updated by %1.","Ursprüngliche Lieferadresse wurde von %1 aktualisiert."
"Original shipping address was restored by %1.","Ursprüngliche Lieferadresse wurde von %1 wiederhergestellt."
"Original delivery address was overwritten by the system with the address verified by %1 (per module configuration).","Ursprüngliche Lieferadresse wurde vom System mit der von %1 validierten Adresse überschrieben (gemäß Modulkonfiguration)."
"Shipping address not found.","Lieferadresse nicht gefunden."
"Order was resumed by %1 and the validated address was set as shipping address (due to module config value)","Bestellung wurde von %1 fortgesetzt und die validierte Adresse als Lieferadresse gesetzt (gemäß Modulkonfiguration)."
"An error occurred while saving the validated address as shipping address.","Beim Speichern der validierten Adresse als Lieferadresse ist ein Fehler aufgetreten."
"Invalid validated-address column ""%1"".","Ungültige Validierungs-Adressspalte ""%1""."
